"Gene","Var1"
"NHSL1","Astrocyte_Cahoy_all"
"TOR3A","Astrocyte_Cahoy_all"
"DECR1","Astrocyte_Cahoy_all"
"LOC219854","Astrocyte_Cahoy_all"
"CRISPLD2","Astrocyte_Cahoy_all"
"GHR","Astrocyte_Cahoy_all"
"1810014B01RIK","Astrocyte_Cahoy_all"
"METRNL","Astrocyte_Cahoy_all"
"ADCYAP1R1","Astrocyte_Cahoy_all"
"FZD7","Astrocyte_Cahoy_all"
"RAPGEF3","Astrocyte_Cahoy_all"
"BC025076","Astrocyte_Cahoy_all"
"LOC665139","Astrocyte_Cahoy_all"
"SEPT9","Astrocyte_Cahoy_all"
"RLBP1","Astrocyte_Cahoy_all"
"C9orf61","Astrocyte_Cahoy_all"
"FNDC5","Astrocyte_Cahoy_all"
"PELI2","Astrocyte_Cahoy_all"
"ARSK","Astrocyte_Cahoy_all"
"WWTR1","Astrocyte_Cahoy_all"
"ABHD1","Astrocyte_Cahoy_all"
"CST3","Astrocyte_Cahoy_all"
"ACOT1","Astrocyte_Cahoy_all"
"OSMR","Astrocyte_Cahoy_all"
"BCDO2","Astrocyte_Cahoy_all"
"FBXO30","Astrocyte_Cahoy_all"
"DHRS4","Astrocyte_Cahoy_all"
"GPT","Astrocyte_Cahoy_all"
"ARHGAP5","Astrocyte_Cahoy_all"
"ETV5","Astrocyte_Cahoy_all"
"MMD2","Astrocyte_Cahoy_all"
"ZNRF3","Astrocyte_Cahoy_all"
"ANGPT1","Astrocyte_Cahoy_all"
"NMI","Astrocyte_Cahoy_all"
"DBP","Astrocyte_Cahoy_all"
"COX4NB","Astrocyte_Cahoy_all"
"RORA","Astrocyte_Cahoy_all"
"USP53","Astrocyte_Cahoy_all"
"TULP3","Astrocyte_Cahoy_all"
"PLCE1","Astrocyte_Cahoy_all"
"PTPLAD2","Astrocyte_Cahoy_all"
"TPCN1","Astrocyte_Cahoy_all"
"BHLHB2","Astrocyte_Cahoy_all"
"RDH10","Astrocyte_Cahoy_all"
"FGFRL1","Astrocyte_Cahoy_all"
"FARS2","Astrocyte_Cahoy_all"
"6030451C04RIK","Astrocyte_Cahoy_all"
"VCL","Astrocyte_Cahoy_all"
"PRRX1","Astrocyte_Cahoy_all"
"TIMP4","Astrocyte_Cahoy_all"
"SCG3","Astrocyte_Cahoy_all"
"ZNF703","Astrocyte_Cahoy_all"
"SCD1","Astrocyte_Cahoy_all"
"PDGFD","Astrocyte_Cahoy_all"
"LFNG","Astrocyte_Cahoy_all"
"SLC7A11","Astrocyte_Cahoy_all"
"STARD8","Astrocyte_Cahoy_all"
"C10orf33","Astrocyte_Cahoy_all"
"DBX2","Astrocyte_Cahoy_all"
"CNN3","Astrocyte_Cahoy_all"
"ABHD3","Astrocyte_Cahoy_all"
"DBI","Astrocyte_Cahoy_all"
"TBC1D10A","Astrocyte_Cahoy_all"
"BTBD14A","Astrocyte_Cahoy_all"
"CHST7","Astrocyte_Cahoy_all"
"2900016B01RIK","Astrocyte_Cahoy_all"
"VIM","Astrocyte_Cahoy_all"
"GSTK1","Astrocyte_Cahoy_all"
"TMEM144","Astrocyte_Cahoy_all"
"BOC","Astrocyte_Cahoy_all"
"FMN2","Astrocyte_Cahoy_all"
"ARHGAP12","Astrocyte_Cahoy_all"
"TTYH1","Astrocyte_Cahoy_all"
"PTPLB","Astrocyte_Cahoy_all"
"SEPT6","Astrocyte_Cahoy_all"
"UGT1A6","Astrocyte_Cahoy_all"
"AQP9","Astrocyte_Cahoy_all"
"MEIS2","Astrocyte_Cahoy_all"
"AI843639","Astrocyte_Cahoy_all"
"SLC26A6","Astrocyte_Cahoy_all"
"TRIM34","Astrocyte_Cahoy_all"
"PC","Astrocyte_Cahoy_all"
"LOC200312","Astrocyte_Cahoy_all"
"ZFYVE21","Astrocyte_Cahoy_all"
"NME7","Astrocyte_Cahoy_all"
"SH3PXD2B","Astrocyte_Cahoy_all"
"EIF4EBP1","Astrocyte_Cahoy_all"
"PRKCD","Astrocyte_Cahoy_all"
"NFIA","Astrocyte_Cahoy_all"
"EPDR1","Astrocyte_Cahoy_all"
"SOCS3","Astrocyte_Cahoy_all"
"TANK","Astrocyte_Cahoy_all"
"UGP2","Astrocyte_Cahoy_all"
"PGCP","Astrocyte_Cahoy_all"
"CLYBL","Astrocyte_Cahoy_all"
"LMCD1","Astrocyte_Cahoy_all"
"AHCYL1","Astrocyte_Cahoy_all"
"EG633285","Astrocyte_Cahoy_all"
"GADD45G","Astrocyte_Cahoy_all"
"ALDH6A1","Astrocyte_Cahoy_all"
"ANTXR1","Astrocyte_Cahoy_all"
"5730414N17RIK","Astrocyte_Cahoy_all"
"NOTCH1","Astrocyte_Cahoy_all"
"GABRB1","Astrocyte_Cahoy_all"
"LOC51136","Astrocyte_Cahoy_all"
"TMEM176A","Astrocyte_Cahoy_all"
